mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.013219118118286133,0.003392294670953582,0.009031391143798828,0.0013189004848204737,0.01,100,liblinear,"{'C': 0.01, 'max_iter': 100, 'solver': 'liblinear'}",0.4225352112676056,0.34782608695652173,0.27586206896551724,0.3384615384615385,0.45161290322580644,0.36725956177539787,0.06281937825685366,22
0.08629002571105956,0.016721224523482285,0.019454193115234376,0.012795445854887339,0.01,100,lbfgs,"{'C': 0.01, 'max_iter': 100, 'solver': 'lbfgs'}",0.6341463414634146,0.6756756756756757,0.5866666666666667,0.5789473684210527,0.5555555555555556,0.606198321556473,0.04312072422831263,15
0.019680547714233398,0.006851718432735742,0.018966245651245116,0.003684490505991637,0.01,200,liblinear,"{'C': 0.01, 'max_iter': 200, 'solver': 'liblinear'}",0.4225352112676056,0.34782608695652173,0.27586206896551724,0.3384615384615385,0.45161290322580644,0.36725956177539787,0.06281937825685366,22
0.051949930191040036,0.009117904291481141,0.008993816375732423,0.0015792921070140208,0.01,200,lbfgs,"{'C': 0.01, 'max_iter': 200, 'solver': 'lbfgs'}",0.6341463414634146,0.6842105263157895,0.5945945945945946,0.5789473684210527,0.6666666666666666,0.6317130994923036,0.040362502720011705,1
0.006071805953979492,0.004051786948181581,0.014585351943969727,0.0072555652028796595,0.01,500,liblinear,"{'C': 0.01, 'max_iter': 500, 'solver': 'liblinear'}",0.4225352112676056,0.34782608695652173,0.27586206896551724,0.3384615384615385,0.45161290322580644,0.36725956177539787,0.06281937825685366,22
0.12222900390625,0.015120136593155097,0.016550064086914062,0.017278371695252252,0.01,500,lbfgs,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.6341463414634146,0.6842105263157895,0.5945945945945946,0.5789473684210527,0.6666666666666666,0.6317130994923036,0.040362502720011705,1
0.022265100479125978,0.026245353388728392,0.02104339599609375,0.022034336051907858,0.1,100,liblinear,"{'C': 0.1, 'max_iter': 100, 'solver': 'liblinear'}",0.5135135135135135,0.4657534246575342,0.36065573770491804,0.4117647058823529,0.5757575757575758,0.4654889915031789,0.0752886382930146,19
0.09240279197692872,0.010208058324245498,0.022615480422973632,0.007135328344128094,0.1,100,lbfgs,"{'C': 0.1, 'max_iter': 100, 'solver': 'lbfgs'}",0.6341463414634146,0.6756756756756757,0.56,0.547945205479452,0.6578947368421053,0.6151323918921295,0.05178674789753516,14
0.014481210708618164,0.007467986869008029,0.01811213493347168,0.008560096172467845,0.1,200,liblinear,"{'C': 0.1, 'max_iter': 200, 'solver': 'liblinear'}",0.5135135135135135,0.4657534246575342,0.36065573770491804,0.4117647058823529,0.5757575757575758,0.4654889915031789,0.0752886382930146,19
0.06292986869812012,0.012145575229742992,0.010774183273315429,0.0016781362118607965,0.1,200,lbfgs,"{'C': 0.1, 'max_iter': 200, 'solver': 'lbfgs'}",0.6341463414634146,0.6842105263157895,0.5866666666666667,0.5405405405405406,0.6666666666666666,0.6224461483306156,0.05271790406446696,11
0.014356374740600586,0.007163265879420157,0.010666275024414062,0.0011439607417154049,0.1,500,liblinear,"{'C': 0.1, 'max_iter': 500, 'solver': 'liblinear'}",0.5135135135135135,0.4657534246575342,0.36065573770491804,0.4117647058823529,0.5757575757575758,0.4654889915031789,0.0752886382930146,19
0.04787530899047852,0.006925221403275288,0.01276092529296875,0.0031503642327816383,0.1,500,lbfgs,"{'C': 0.1, 'max_iter': 500, 'solver': 'lbfgs'}",0.6341463414634146,0.6842105263157895,0.5866666666666667,0.5405405405405406,0.6666666666666666,0.6224461483306156,0.05271790406446696,11
0.009523916244506835,0.0010419230750224014,0.0073702335357666016,0.003047032359691058,1.0,100,liblinear,"{'C': 1, 'max_iter': 100, 'solver': 'liblinear'}",0.6419753086419753,0.6933333333333334,0.5277777777777778,0.5217391304347826,0.6,0.5969651100375739,0.06598150945393723,16
0.0639267921447754,0.025996402016304813,0.010560274124145508,0.004970985565650089,1.0,100,lbfgs,"{'C': 1, 'max_iter': 100, 'solver': 'lbfgs'}",0.6341463414634146,0.7123287671232876,0.5789473684210527,0.5675675675675675,0.6486486486486487,0.6283277386447942,0.052217214901520564,3
0.014092636108398438,0.006453275222325902,0.018423795700073242,0.005398832003247018,1.0,200,liblinear,"{'C': 1, 'max_iter': 200, 'solver': 'liblinear'}",0.6419753086419753,0.6933333333333334,0.5277777777777778,0.5217391304347826,0.6,0.5969651100375739,0.06598150945393723,16
0.0651623249053955,0.011518807160542698,0.010605621337890624,0.003079373751337316,1.0,200,lbfgs,"{'C': 1, 'max_iter': 200, 'solver': 'lbfgs'}",0.6506024096385542,0.6842105263157895,0.5789473684210527,0.547945205479452,0.6578947368421053,0.6239200493393907,0.05156721494245713,9
0.010001802444458007,0.0013983225850884209,0.010102319717407226,0.0048570264477458555,1.0,500,liblinear,"{'C': 1, 'max_iter': 500, 'solver': 'liblinear'}",0.6419753086419753,0.6933333333333334,0.5277777777777778,0.5217391304347826,0.6,0.5969651100375739,0.06598150945393723,16
0.05723094940185547,0.01478272915457957,0.009275865554809571,0.002841089055206955,1.0,500,lbfgs,"{'C': 1, 'max_iter': 500, 'solver': 'lbfgs'}",0.6506024096385542,0.6842105263157895,0.5789473684210527,0.547945205479452,0.6578947368421053,0.6239200493393907,0.05156721494245713,9
0.010096120834350585,0.004804714298978428,0.013770341873168945,0.0073313046072430105,10.0,100,liblinear,"{'C': 10, 'max_iter': 100, 'solver': 'liblinear'}",0.6341463414634146,0.6842105263157895,0.56,0.5675675675675675,0.6753246753246753,0.6242498221342894,0.05223559207331159,4
0.04668006896972656,0.011729050363048766,0.008399105072021485,0.002806199099692276,10.0,100,lbfgs,"{'C': 10, 'max_iter': 100, 'solver': 'lbfgs'}",0.6419753086419753,0.684931506849315,0.56,0.5675675675675675,0.6486486486486487,0.6206246063415013,0.0487174899731068,13
0.013510847091674804,0.0039319274218296,0.009736156463623047,0.0028490740986178093,10.0,200,liblinear,"{'C': 10, 'max_iter': 200, 'solver': 'liblinear'}",0.6341463414634146,0.6842105263157895,0.56,0.5675675675675675,0.6753246753246753,0.6242498221342894,0.05223559207331159,4
0.06572198867797852,0.023203207953458985,0.01206345558166504,0.0022184864717546466,10.0,200,lbfgs,"{'C': 10, 'max_iter': 200, 'solver': 'lbfgs'}",0.6506024096385542,0.6842105263157895,0.56,0.5675675675675675,0.6578947368421053,0.6240550480728033,0.05052217956934724,7
0.011817598342895507,0.0026857023700420203,0.014667510986328125,0.009644508869867454,10.0,500,liblinear,"{'C': 10, 'max_iter': 500, 'solver': 'liblinear'}",0.6341463414634146,0.6842105263157895,0.56,0.5675675675675675,0.6753246753246753,0.6242498221342894,0.05223559207331159,4
0.05421814918518066,0.024877606279840928,0.009601688385009766,0.0023094662535435907,10.0,500,lbfgs,"{'C': 10, 'max_iter': 500, 'solver': 'lbfgs'}",0.6506024096385542,0.6842105263157895,0.56,0.5675675675675675,0.6578947368421053,0.6240550480728033,0.05052217956934724,7
